Datum;Nivo v absolutnih kotah (m n.m.)
01.01.1974;280.65
02.01.1974;280.76
03.01.1974;280.72
04.01.1974;280.7
05.01.1974;280.68
06.01.1974;280.77
07.01.1974;280.77
08.01.1974;280.72
09.01.1974;280.71
10.01.1974;280.7
11.01.1974;280.67
12.01.1974;280.64
13.01.1974;280.63
14.01.1974;280.61
15.01.1974;280.56
16.01.1974;280.55
17.01.1974;280.54
18.01.1974;280.56
19.01.1974;280.55
20.01.1974;280.52
21.01.1974;280.48
22.01.1974;280.44
23.01.1974;280.42
24.01.1974;280.43
25.01.1974;280.37
26.01.1974;280.35
27.01.1974;280.33
28.01.1974;280.33
29.01.1974;280.28
30.01.1974;280.24
31.01.1974;280.2
01.02.1974;280.19
02.02.1974;280.17
03.02.1974;280.12
04.02.1974;280.1
05.02.1974;280.07
06.02.1974;280.04
07.02.1974;280
08.02.1974;279.98
09.02.1974;279.94
10.02.1974;279.89
11.02.1974;279.84
12.02.1974;279.81
13.02.1974;279.77
14.02.1974;279.74
15.02.1974;279.69
16.02.1974;279.66
17.02.1974;279.63
18.02.1974;279.59
19.02.1974;279.54
20.02.1974;279.51
21.02.1974;279.48
22.02.1974;279.46
23.02.1974;279.47
24.02.1974;279.49
25.02.1974;279.4
26.02.1974;279.42
27.02.1974;279.38
28.02.1974;279.36
01.03.1974;279.3
02.03.1974;279.32
03.03.1974;279.31
04.03.1974;279.32
05.03.1974;279.2
06.03.1974;279.2
07.03.1974;279.15
08.03.1974;279.13
09.03.1974;279.13
10.03.1974;279.17
11.03.1974;279.16
12.03.1974;279.13
13.03.1974;279.11
14.03.1974;279.11
15.03.1974;279.15
16.03.1974;279.09
17.03.1974;279.13
18.03.1974;279.1
19.03.1974;279.13
20.03.1974;279.1
21.03.1974;279.06
22.03.1974;279.08
23.03.1974;279.07
24.03.1974;279.04
25.03.1974;279.06
26.03.1974;279.09
27.03.1974;279.16
28.03.1974;279.07
29.03.1974;279.09
30.03.1974;279.1
31.03.1974;279.09
01.04.1974;279.09
02.04.1974;279.1
03.04.1974;279.08
04.04.1974;279.09
05.04.1974;279.02
06.04.1974;279.06
07.04.1974;279.06
08.04.1974;279.05
09.04.1974;279.03
10.04.1974;279.01
11.04.1974;278.97
12.04.1974;278.98
13.04.1974;278.97
14.04.1974;278.95
15.04.1974;278.93
