Datum;nivo v absolut. kotah (m n.m.)
01.01.2015;277.8
02.01.2015;277.77
03.01.2015;277.73
04.01.2015;277.7
05.01.2015;277.65
06.01.2015;277.61
07.01.2015;277.57
08.01.2015;277.53
09.01.2015;277.5
10.01.2015;277.47
11.01.2015;277.44
12.01.2015;277.41
13.01.2015;277.39
14.01.2015;277.37
15.01.2015;277.34
16.01.2015;277.32
17.01.2015;277.3
18.01.2015;277.28
19.01.2015;277.27
20.01.2015;277.26
21.01.2015;277.24
22.01.2015;277.23
23.01.2015;277.22
24.01.2015;277.2
25.01.2015;277.18
26.01.2015;277.16
27.01.2015;277.14
28.01.2015;277.12
29.01.2015;277.1
30.01.2015;277.09
31.01.2015;277.07
01.02.2015;277.06
02.02.2015;277.04
03.02.2015;277.01
04.02.2015;276.99
05.02.2015;276.97
06.02.2015;276.95
07.02.2015;276.94
08.02.2015;276.92
09.02.2015;276.9
10.02.2015;276.88
11.02.2015;276.85
12.02.2015;276.83
13.02.2015;276.81
14.02.2015;276.8
15.02.2015;276.8
16.02.2015;276.78
17.02.2015;276.77
18.02.2015;276.77
19.02.2015;276.76
20.02.2015;276.76
21.02.2015;276.76
22.02.2015;276.76
23.02.2015;276.76
24.02.2015;276.78
25.02.2015;276.8
26.02.2015;276.82
27.02.2015;276.84
28.02.2015;276.85
01.03.2015;276.86
02.03.2015;276.87
03.03.2015;276.86
04.03.2015;276.86
05.03.2015;276.86
06.03.2015;276.86
07.03.2015;276.85
08.03.2015;276.85
09.03.2015;276.84
10.03.2015;276.83
11.03.2015;276.82
12.03.2015;276.8
13.03.2015;276.79
14.03.2015;276.78
15.03.2015;276.76
16.03.2015;276.74
17.03.2015;276.73
18.03.2015;276.71
19.03.2015;276.69
20.03.2015;276.68
21.03.2015;276.67
22.03.2015;276.66
23.03.2015;276.64
24.03.2015;276.62
25.03.2015;276.61
26.03.2015;276.6
27.03.2015;276.64
28.03.2015;276.72
29.03.2015;276.8
30.03.2015;276.86
31.03.2015;276.9
01.04.2015;276.92
02.04.2015;276.93
03.04.2015;276.94
04.04.2015;276.95
05.04.2015;276.94
06.04.2015;276.94
07.04.2015;276.93
08.04.2015;276.91
09.04.2015;276.9
10.04.2015;276.88
11.04.2015;276.87
12.04.2015;276.86
13.04.2015;276.84
14.04.2015;276.82
15.04.2015;276.81
16.04.2015;276.8
17.04.2015;276.79
18.04.2015;276.77
19.04.2015;276.77
20.04.2015;276.76
21.04.2015;276.76
22.04.2015;276.75
23.04.2015;276.73
24.04.2015;276.73
25.04.2015;276.71
26.04.2015;276.7
27.04.2015;276.69
28.04.2015;276.68
29.04.2015;276.66
30.04.2015;276.66
01.05.2015;276.65
02.05.2015;276.64
03.05.2015;276.63
04.05.2015;276.62
05.05.2015;276.61
06.05.2015;276.6
07.05.2015;276.59
08.05.2015;276.58
09.05.2015;276.57
10.05.2015;276.56
11.05.2015;276.55
12.05.2015;276.53
13.05.2015;276.52
14.05.2015;276.5
15.05.2015;276.49
16.05.2015;276.49
17.05.2015;276.49
18.05.2015;276.49
19.05.2015;276.48
20.05.2015;276.47
21.05.2015;276.46
22.05.2015;276.46
23.05.2015;276.49
24.05.2015;276.52
25.05.2015;276.55
26.05.2015;276.58
27.05.2015;276.59
28.05.2015;276.59
29.05.2015;276.59
30.05.2015;276.59
31.05.2015;276.58
01.06.2015;276.57
02.06.2015;276.55
03.06.2015;276.54
04.06.2015;276.53
05.06.2015;276.52
06.06.2015;276.51
07.06.2015;276.49
08.06.2015;276.48
09.06.2015;276.47
10.06.2015;276.45
11.06.2015;276.44
12.06.2015;276.42
13.06.2015;276.41
14.06.2015;276.4
15.06.2015;276.38
16.06.2015;276.37
17.06.2015;276.35
18.06.2015;276.34
19.06.2015;276.33
20.06.2015;276.33
21.06.2015;276.32
